,,,,,,,,,,,,,,
,MAX & MIN PYMNT,$250 min Tier 2 $650 Tier 3 $700 Tier 4 $750 Tier 5 $850,$250 to $650,$250.00 / $775.00,$0 to $750 MORE ON EXCEPTION,,$325 to $600/ CALL REP CASE BY CASE,UP TO 875,$200.00 TO $899.99 / $7500.00 MIN ATF,"$7500-$50,000 $850/MONTH",CASE BY CASE DEPENDS ON BUDGET VERIFICATION ,,850.00-900.00,
,MAX TDSR & PTI,Depends on income verification,Depends on income verification,48% / 18%,50% & 20%,,55% & 20%,55% & 20%,48% & 18%,55% TDSR 19% PTI,CASE BY CASE ,,45% 16-18 PTI,
INCOME,LENGTH OF EMPLOYMENT,3 months,1 Month,3 MONTHS,3 PLUS,,1MONTH MIN/ 1800 450 BEACON MIN,3 MONTHS ,NO HIT 6 MONTH 12 SELF / 6 MONTHS,1 MONTH JUDT NOT THIN FILES,CASE BY CASE,,6 MONTHS 3 MONTHS IF SAME WORK,
,DISABILITY (AISH/ODSP),Yes long term only,YES including short term,LONG-TERM OR WCB,LONG TERM ONLY/ NO AISH,,YES(2 GARNISHED MAX 450 PAYMENT),MIN INCOME HAS TO BE $1750,YES (SUBMIT AS IS) AISH 1588.00,YES MIN INCOME $2300 OR $3000 SPOUSAL COMBINED,YES THEY DO THE BUDGET ,,LONG TERM ONLY,
,CHILD TAX,50% ( must meet minimum income first),50% ( must meet minimum income first),50% (UP TO 500 MAX),UP TO 500.00,,100%,NO,NO,25%,YES IF IT SUPPORTS THE PAYCALL ,,50%,
,NOA ON SELF EMPLOYED,1 year minimum,1 year minimum,NO,6 MONTHS BANK STATEMENTS,,6 MONTHS INVOICES MATCHING 6 BNK STS,YES 1 YEAR / CASE BY CASE INVOICE & ST.,T1 GENERAL / STATEMENT OF BUSINESS,ONLY ON TIER 5 AND 6,CASE BY CASE ,,SELF EMPLOYED AND NOA,
,WAIVE INCOME,Case by case,No,6 GEAR ONLY,ONLY EXISTING EDEN PARK,,YES CASE BY CASE(QUALITY EMPLOYMENT),YES,4 KEY TO 5 KEY / INTERNAL OR CURRENT,ONLY CURRENT CUSTOMERS AND PARENTAL COJO,NO ,,NO,
,INSTANT BANK LINK ,YES,YES including short term,YES,YES,,YES,NO,NO ,YES,yes TCL sends it over to client directly ,,FLINX.IO  YES,
,NEW 2 JOB(1 PAYSTUB),NO ,No,UNION YES,NO  3 MONTHS,,YES,CASE BY CASE / SAME LINE OF WORK / NO PROBATION,NO ,YES NOT ON THIN FILES,,,YES 3 MONTHS,
DEAL BUILD,GAP MAX,Warranty max ammount 30%,No,"$3,500.00",fit within 180%,,15% of sticker price,20% OF BACKEND TOTAL FOR AFTERMARKET,YES - $1100.00 BACK END,"$2,000 ",MARK UP $1000 ON TOP THEY NEED COST SHEET ,,1750,
,GPS,No,YES,NO,NONE / 2 RIDE ,,YES ON S1 CASE BY CASE ,NO,NO,NEVER,YES ,,SOME TIER 5 AND 5 PLUS,
,MAX ADVANCE,130% to 165%,Under 200%,140%,UP TO 140 ALBERTA BOOK 180 ALL IN ,,125% to 140%,125% to 140%,120% to 140% / NEW 18-19-20 UNDER 20K 125%,140%,CASE BY CASE,,"50,000 140% ",
,MAX KM,180 km,200000 KM'S,"1-2 GEAR 140,000 KM / 180,000 KM",180 km,,190 km,185 km,NO MAX KM,"190,000KMS UNLESS USING $12,500 PROGRAM",LEASE ,,"168,000",
,MAX TERM,"Depends on year of Unit, 96 New Prime",72,84 MONTHS,84 MONTHS EXECPT 2 RIDE AND NO HIT,,72,84,84,84 MONTHS,48 MONTH LEASE ,,84 MONTHS,
,MAX WARRANTY,"Prime no Max, 30% on tier'd approvals",$1500 Warranty $1000 for GAP,$3500.00 / 40% BB TOTAL ADS,UP TO 3000.00,,Max 15%/DOESN'T MATTER ,NONE,MANUFACTURE $2600.00 NON $2100.00 2Y,3 YEAR $3500 2 YEAR $3000,"MARK UP $1000 ON TOP, THEY NEED WARRANTY COST SHEET ",,2500,
,MIN HOUSING,Nothing,Nothing,$475,$675,,PUT $400 ONLY!!!!,$400,$600 WITH SPOUSE $1 AND $600.00,$600 ,DEPENDS ON APP'S BUDGET EXPENSE ,,650,
,MIN INCOME,$2500 Tier'd,$1400 ($1850 Saskatchewan),"$1,800",2000.00 NO HIT IS 2500.00,,"$1800 single, $2400 joint","$1,750",$1800 SINGLE / SPOUSAL COMBINED,"$2,300 ",$1850(CASE BY CASE) ,,2200.00- THIN 2500.00,
,DECLARATION,$7500 or 35% of black book,$7500 or 35% of black book,5K 5-7500 BASED ON STRUCTURE,max $5000 combined EXCEPTIONS ,,6000 CASE BY CASE ,max $5000,CASE BY CASE (OVER 2K ON BOS) 5K / 50% BB,$5000 UNLESS WE MAKE EXCPETION,NOTHING MORE THEN 5K$,,5000.00 COMBINED,
,NEG EQUITY,Tier Neg can't exceed 30% including cash down,NO,CURRENT CUSTOMER / NO RATE INC,"10,000",,NO,Yes max 3k bump 3%,NEG PROGRAM 3% FOR 2K 1.5% 1K NO BREAKS,"NO MORE THAN $14,000",NO TRADES ,,NO,
,RATE,8.99 to 29.5,29.50%,8.99 - 34.99,11.9 to 26.9,,15.99 to 29.99/ EVENTUALLY 9.99 AUG 2019,9.9 to 29.9,8.99 TO 26.99 + UPSELL,11.99%-26.99% RATE IS NOT BASED ON YEAR OF VEHICLE,11.99%,,11.9-29.9,
,RATE BREAKS,NO,NO,BASED ON STRUCTURE 2%,YES max 6,,YES,"YES max 4 / PROMO OF ,18,19,20 U 65K",YES MAX 2% NOTHING UNDER FLOOR,YES,NO ,,YES,
,TDS INSURANCE,Yes ,Yes,150,NO,,NO ,$0,BACK END,NO,LEASE ,,YES,
,TERM STRECHES,YES (get details),No,WITH 5K - 6 MONTH ,YES 6 month,,Depends on km and term 72MAX,YES (6 month max),12 MONTH / MAX 84,YES,LEASE ,,YES 6 MONTHS USUALLY,
,TIER,2-8,NO,1-6 GEARS ,2-5,,S1 to S4,1-5*+,2 KEY TO 5 KEY,NO,LEASE ,,TIER 1- 5,
BANK,TEL,1 888 486-4356,1-888-486-4356,1-855-378-5626,1-855-366-8667,,1-877-564-8582,1-877-298-3113 POI 1-855-275-8844,250-244-6025 / 1-855-TDAUTO1,,604-684-2430 or 844-684-2430,,1-888-303-2001,
,ADDRESS,"#300 4245 97 St Edmonton, Ab T6E 5Y7","#300 4245 97 St Edmonton, Ab T6E5Y7",,"Po Box 15553 Royal York Bloor St Etobicoke, Ont M8X 1C0",,"#103 498 Eagle St North Cambridge, Ont N3H 1C2","#300 4190 Louheed Hwy, Burnaby BC V5C 6A8",,,"#201-888 Terminal Ave. Vancouver, BC V6A 2M5",,,
,INCOME FAX,1-855-227-3655,1-855-227-3655,1-855-379-5626,1-855-707-3336,,1-888-624-6276,1-877-298-9501,1-800-832-8911,,604-608-4849,,,
,INCOME EMAIL,poi@santanderconsumer.ca income@santanderconsumer.ca,poi@carfinco.com income@carfinco.com (microbilt),docs.auto@ia.ca ,funding@edenparkcanada.com,,INFO@sourceoncefinancial.ca,docs@scotiadealeradvantage.com,,INCOME@AUTOCAPITALCANADA.CA,sales@transcanleasing.ca ,,,
,FUNDING FAX,1-855-227-3660,1-855-227-3660,1-855-379-5626,Same,,INFO@SOURCEONCEfinancial.ca,Same,tdaf_documents@td.com ,,604-608-4849,,,
,FUNDING EMAIL,funding@santanderconsumer.ca,funding@santanderconsumer.ca,docs.auto@ia.ca,Same,,info@sourceonefinancial.ca,docs@scotiadealeradvantage.com,tdaf_documents@td.com ,FUNDING@AUTOCAPITALCANADA.CA,funding@transcanleasing.ca,,,
,PAY OUT FAX,1 855 227-3655 Customer Service,Same,docs.auto@ia.ca,Same,,Same,,,,604-608-4849,,,
,INSTABANK LINK,,,www.iafastincome.ca,www.epiiep.com,,,,,,,,,
,REP NAME,Ashley Rodnunsky,Ashley Rodnunsky,BLAIR GESSEL,ALLISEN REGO,,NA,,,ASHLEY RODNUNSKY,"STACEY FOR SALES/CREDIT, CLAIRE FOR FUNDING ",,,
,REP EMAIL ADDRESS,,,blair.gessell@ia.ca,allisen.rego@edenparkcanada.com,,NA,,,ARODNUNSKY@AUTOCAPITALCANADA.CA,N/A,,,
,REP PHONE NUMBER,587 991-4030,587 991-4030,780-242-5184,587-920-4363,,no,,,780 984 3324,N/A,,,
,DATE LAST MODIFIED,02//23/2026 - Jordan,02/23/2026,2/20/19 good,,,Jul-19,02/19/19,877-867-2227 INCOME FOR EMPLOYER,26-Jul-19,02/05/2019,,,
